Area,Sub Area,"Location
(building; room; etc)",Booth/Bezel,Roles that can staff area?,Booth Description - What's being demonstrated here?  Employees use these descriptions to asses if they should volunteer to staff it
a0m30000003R5Gc,Service Cloud,Moscone North,HR & Employee Engagement ,Sales Engineer,"STAFFING REQUIREMENT: Service Cloud SE Specialists or HR/Employee Engagement Blackbelts ONLY. This demo station will focus on the updated Agent Console and how it enables HR to be more productive and deliver fast, accurate answers for employees.  Staffers should be prepared to answer questions about and demo ALL of the Service Cloud features."
a0m30000003R5Gc,Service Cloud,Moscone North,Analytics for Service ,Sales Engineer,STAFFING REQUIREMENT: Service Cloud SE Specialist ONLY. This demo station will focus on Analytics for Service and the new Service Wave.  Staffers should be prepared to answer questions about and demo ALL of the Service Cloud features.
a0m30000003R5Gc,Service Cloud,Moscone North,Service on Salesforce,Sales Engineer,STAFFING REQUIREMENT: Service Cloud SE Specialist ONLY. This demo station will focus on the move from Desk.com to Service Cloud.  Staffers should be prepared to differentiate between Desk and Service and helping customers to identify which is the right fit for their business.
a0m30000003R5Gc,Service Cloud,Moscone North,Service for Apps,Sales Engineer,STAFFING REQUIREMENT: Service Cloud SE Specialist ONLY. This demo station will focus on SOS and the new embedded Knowledge features available for mobile apps.  Staffers should also be prepared to answer questions about and demo ALL of the Service Cloud features.
a0m30000003R5Gc,Service Cloud,Moscone North,SOS for Apps ,Sales Engineer,"STAFFING REQUIREMENT: Service Cloud SE Specialist ONLY. This demo station will focus on the SOS GA product and how it enables agents to be more productive and deliver fast, accurate answers.  Staffers should be prepared to answer questions about and demo ALL of the Service Cloud features."
a0m30000003R5Gc,Service Cloud,Moscone North,Live Agent Chat,Sales Engineer,"STAFFING REQUIREMENT: Service Cloud SE Specialist ONLY. This demo station will focus on Live Agent and how it enables agents to deliver fast, and accurate answers.  Staffers should be prepared to answer questions about and demo ALL of the Service Cloud features."
a0m30000003R5Gc,Service Cloud,Moscone North,Social Customer Service,Sales Engineer,"STAFFING REQUIREMENT: Service Cloud or Marketing Cloud SE Specialists ONLY. This demo station will focus on Service Cloud and Social Hub work together to deliver fast, personalized customer service.  Staffers should also be prepared to answer questions about and demo ALL of the Service Cloud features."
a0m30000003R5Gc,Service Cloud,Moscone North,Self-Servce Communities ,Sales Engineer,"STAFFING REQUIREMENT: Service Cloud SE Specialist ONLY. This demo station will focus on easily creating Service Communities, how they help customers find the right information and deflect calls away from the contact center.  Staffers should be prepared to answer questions about and demo ALL of the Service Cloud features."
a0m30000003R5Gc,Service Cloud,Moscone North,CEC Agents,Technical Support,"STAFFING REQUIREMENT: Members of the Salesforce Customer Service team ONLY. Customer Support Agent resolving real Dreamforce attendee questions/issues from ALL channels (Phone, Email, Twitter, Live Chat, and the new SOS feature). Attendees love to see how real agents use the Service Cloud to answer customer service inquiries!"
a0m30000003R5Gc,Service Cloud,Moscone North,CEC Attendee Engagement Docent,Technical Support/ SE/CSG (Service Cloud SE or CSG Service Cloud Architect ONLY),"STAFFING REQUIREMENT:  Members of the Salesforce Customer Service, Service Cloud SE Specialists, or Service Cloud Solution Architect teams ONLY.  Service Cloud experts will stand next to Support Agents in the Live Customer Engagement Center resolving real Dreamforce attendee questions/issues.  You will engage with attendees to help them understand what actions Agents are taking to close cases. This allows the agent to focus on closing cases, and YOU to be the expert to answer attendee questions!"
a0m30000003R5Gc,Service Cloud,Moscone North,Service Cloud Floater ,SR/BDR;Account Executive/Co-Prime,"Engage attendees, scan badges, give out swag, direct attendees to see a demo or check out the live customer engagement center around the space"
a0m30000003R5Gc,Service Cloud,Moscone North,Jawbone Service for Apps Demo Presentation,Sales Engineer,"STAFFING REQUIREMENT: Service Cloud SE Specialist ONLY or PMM. This is a ""theater style demo"" showcasing Connected Devices, Service for Apps, and SOS.  One person will play the role of the agent, while the other will play the role of the customer.  When complete the demo, you will take audience questions.  Staff this booth if you Love presenting and getting folks excited about Service Cloud!!"
a0m30000003R5Gc,Marketing Cloud,Moscone North,Journey Builder ,Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Journey Builder demo station highlighting current functionality of Journey Builder, Journey Maps and Interaction Canvas. "
a0m30000003R5Gc,Marketing Cloud,Moscone North,"Connect Marketing, Sales & Service ",Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only  Journey Builder demo station highlighting current functionality of Journey Builder, Journey Maps and Interaction Canvas. Highlight features that show integration between Sales & Service Cloud"
a0m30000003R5Gc,Marketing Cloud,Moscone North,B2B Marketing Automation ,Sales Engineer,STAFFING REQUIREMENT: Pardot expert only. Pardot demo discussing primary use case of B2B Marketing Automation. 
a0m30000003R5Gc,Marketing Cloud,Moscone North,Email Content Tools ,Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Email demo focused on Email Marketing technology, specifically Content Canvas functionality "
a0m30000003R5Gc,Marketing Cloud,Moscone North,Personalized & Predictive Email ,Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Email demo focused on Predictive Intelligence in Email product. The ability to add reference items, predictive items and more into email, while highlight profiles. "
a0m30000003R5Gc,Marketing Cloud,Moscone North,Predictive Intelligence,Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Predictive Intelligence on Web & Email, focus on Data & Analytics functionality. "
a0m30000003R5Gc,Marketing Cloud,Moscone North,Mobile Messaging,Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Mobile messaging through MobileConnect (SMS), MobilePush (app push messages), and GroupConnect (Mobile Group Messaging)"
a0m30000003R5Gc,Marketing Cloud,Moscone North,Email & Mobile Strategy ,Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Email & Mobile demo, highlighting the use case of coupling Email and Mobile to make a comprehensive strategy "
a0m30000003R5Gc,Marketing Cloud,Moscone North,Social Listening & Analytics ,Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Social Studio demo showing how to listen and analyze on Facebook, Twitter, Instagram, etc."
a0m30000003R5Gc,Marketing Cloud,Moscone North,Social Publishing & Engagement ,Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Social Studio demo showing how to publish and engage on Facebook, Twitter, Instagram, etc."
a0m30000003R5Gc,Marketing Cloud,Moscone North,Social Advertising,Sales Engineer,STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Social.com product demo showing how to best use digital advertising budget
